Kód obce,Název obce,Počet voličů,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Volte Pr.Blok www.cibulka.net,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Společ.proti výst.v Prok.údolí,Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Unie H.A.V.E.L.,Česká národní fronta,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,Národ Sobě
541443,Obora,109,64,64,6,0,0,2,zde nekandidoval,0,3,10,0,0,zde nekandidoval,2,0,0,7,0,zde nekandidoval,zde nekandidoval,0,8,18,zde nekandidoval,0,3,0,0,0,0,5,0,zde nekandidoval
566888,Olbramov,49,28,28,2,0,0,0,zde nekandidoval,0,5,1,2,1,zde nekandidoval,0,0,1,3,0,zde nekandidoval,zde nekandidoval,0,2,10,zde nekandidoval,0,0,0,0,0,0,1,0,zde nekandidoval
541681,Ošelín,138,64,58,0,0,0,4,zde nekandidoval,0,1,12,0,0,zde nekandidoval,0,0,0,7,0,zde nekandidoval,zde nekandidoval,0,2,23,zde nekandidoval,0,2,0,0,0,1,6,0,zde nekandidoval
561134,Planá,4374,2300,2289,170,1,1,143,zde nekandidoval,2,133,328,17,25,zde nekandidoval,17,0,5,190,3,zde nekandidoval,zde nekandidoval,1,69,815,zde nekandidoval,5,50,1,9,2,5,291,6,zde nekandidoval
541486,Prostiboř,122,66,65,1,0,0,8,zde nekandidoval,0,6,3,3,0,zde nekandidoval,1,0,0,10,0,zde nekandidoval,zde nekandidoval,0,4,19,zde nekandidoval,0,0,0,0,1,0,8,1,zde nekandidoval
561151,Přimda,926,457,454,40,0,0,30,zde nekandidoval,0,13,68,4,6,zde nekandidoval,4,1,1,42,1,zde nekandidoval,zde nekandidoval,0,10,166,zde nekandidoval,1,4,0,1,0,1,59,2,zde nekandidoval
561169,Rozvadov,485,236,235,14,1,0,12,zde nekandidoval,0,12,38,2,5,zde nekandidoval,3,0,0,13,0,zde nekandidoval,zde nekandidoval,0,8,74,zde nekandidoval,1,5,0,1,1,0,43,2,zde nekandidoval
579467,Skapce,88,37,37,3,0,0,8,zde nekandidoval,0,0,7,2,1,zde nekandidoval,0,0,0,4,0,zde nekandidoval,zde nekandidoval,0,0,8,zde nekandidoval,0,2,0,0,1,0,1,0,zde nekandidoval
561185,Staré Sedliště,893,390,390,30,0,0,28,zde nekandidoval,1,20,63,4,2,zde nekandidoval,3,0,2,34,0,zde nekandidoval,zde nekandidoval,2,2,127,zde nekandidoval,0,20,0,1,0,1,49,1,zde nekandidoval
561193,Staré Sedlo,208,116,115,8,0,0,8,zde nekandidoval,0,6,29,0,3,zde nekandidoval,0,0,0,4,0,zde nekandidoval,zde nekandidoval,0,0,39,zde nekandidoval,0,2,0,2,1,1,12,0,zde nekandidoval
561207,Stráž,918,447,446,24,1,0,30,zde nekandidoval,0,15,54,6,7,zde nekandidoval,5,0,2,54,0,zde nekandidoval,zde nekandidoval,0,13,174,zde nekandidoval,1,13,0,1,1,4,41,0,zde nekandidoval
561215,Stříbro,6102,3332,3303,269,8,0,313,zde nekandidoval,9,194,277,57,32,zde nekandidoval,44,4,1,332,5,zde nekandidoval,zde nekandidoval,0,129,1127,zde nekandidoval,6,96,1,13,11,4,366,5,zde nekandidoval
561223,Studánka,393,239,238,20,0,0,11,zde nekandidoval,0,10,19,4,4,zde nekandidoval,0,0,0,35,0,zde nekandidoval,zde nekandidoval,0,6,90,zde nekandidoval,0,1,0,3,0,2,33,0,zde nekandidoval
561231,Sulislav,169,119,118,9,0,0,9,zde nekandidoval,0,3,9,1,0,zde nekandidoval,0,0,0,11,0,zde nekandidoval,zde nekandidoval,0,2,59,zde nekandidoval,1,2,0,0,2,0,10,0,zde nekandidoval
561258,Svojšín,345,173,173,7,3,0,10,zde nekandidoval,0,7,21,5,2,zde nekandidoval,1,0,0,14,1,zde nekandidoval,zde nekandidoval,0,6,75,zde nekandidoval,1,3,0,1,0,2,11,3,zde nekandidoval
557081,Sytno,237,113,112,5,0,0,6,zde nekandidoval,0,5,16,0,4,zde nekandidoval,4,0,0,5,0,zde nekandidoval,zde nekandidoval,0,1,45,zde nekandidoval,1,0,0,0,1,0,18,1,zde nekandidoval
560715,Tachov,9590,5256,5228,481,7,4,445,zde nekandidoval,3,152,584,53,43,zde nekandidoval,78,1,6,611,2,zde nekandidoval,zde nekandidoval,6,160,1780,zde nekandidoval,9,89,2,29,13,8,637,25,zde nekandidoval
541621,Tisová,370,175,175,10,0,0,12,zde nekandidoval,0,14,30,1,4,zde nekandidoval,0,1,0,24,0,zde nekandidoval,zde nekandidoval,1,2,62,zde nekandidoval,0,2,0,0,0,0,10,2,zde nekandidoval
561291,Trpísty,184,79,79,4,0,0,10,zde nekandidoval,0,6,16,2,0,zde nekandidoval,0,0,1,3,0,zde nekandidoval,zde nekandidoval,0,0,25,zde nekandidoval,0,1,0,1,0,0,10,0,zde nekandidoval
561304,Třemešné,317,169,168,19,1,0,10,zde nekandidoval,0,13,26,0,0,zde nekandidoval,2,0,0,14,0,zde nekandidoval,zde nekandidoval,2,6,40,zde nekandidoval,0,0,0,1,3,1,30,0,zde nekandidoval
541435,Únehle,105,64,63,7,0,1,6,zde nekandidoval,0,7,7,0,2,zde nekandidoval,0,0,0,8,0,zde nekandidoval,zde nekandidoval,0,3,16,zde nekandidoval,0,1,0,0,0,1,3,1,zde nekandidoval
579491,Vranov,145,84,83,8,0,0,6,zde nekandidoval,0,4,12,0,0,zde nekandidoval,1,1,0,4,0,zde nekandidoval,zde nekandidoval,0,0,31,zde nekandidoval,0,0,0,0,0,0,15,1,zde nekandidoval
541362,Zadní Chodov,207,121,120,9,0,0,9,zde nekandidoval,0,0,16,1,1,zde nekandidoval,0,0,0,9,0,zde nekandidoval,zde nekandidoval,0,3,54,zde nekandidoval,0,2,0,0,0,0,14,2,zde nekandidoval
541664,Záchlumí,308,152,151,9,0,1,13,zde nekandidoval,0,3,29,1,3,zde nekandidoval,0,0,0,9,0,zde nekandidoval,zde nekandidoval,0,1,61,zde nekandidoval,0,1,0,0,0,0,20,0,zde nekandidoval
541460,Zhoř,123,38,36,2,0,0,1,zde nekandidoval,0,1,4,0,0,zde nekandidoval,0,0,0,0,0,zde nekandidoval,zde nekandidoval,0,0,16,zde nekandidoval,0,0,0,0,0,0,12,0,zde nekandidoval
